Timestamp,Type,Severity,Message
2026-01-26 13:59:05,ALERT,HIGH,Camera blackout detected for 20s
2026-01-26 13:59:05,ALERT,HIGH,Camera blackout detected for 21s
2026-01-26 13:59:05,ALERT,HIGH,Camera blackout detected for 21s
2026-01-26 13:59:05,ALERT,HIGH,Camera blackout detected for 21s
2026-01-26 13:59:06,ALERT,HIGH,Camera blackout detected for 21s
2026-01-26 13:59:06,ALERT,HIGH,Camera blackout detected for 21s
2026-01-26 13:59:06,ALERT,HIGH,Camera blackout detected for 21s
2026-01-26 13:59:06,ALERT,HIGH,Camera blackout detected for 21s
2026-01-26 13:59:06,ALERT,HIGH,Camera blackout detected for 21s
2026-01-26 13:59:06,ALERT,HIGH,Camera blackout detected for 22s
2026-01-26 13:59:06,ALERT,HIGH,Camera blackout detected for 22s
2026-01-26 13:59:06,ALERT,HIGH,Camera blackout detected for 22s
2026-01-26 13:59:07,ALERT,HIGH,Camera blackout detected for 22s
2026-01-26 13:59:07,ALERT,HIGH,Camera blackout detected for 22s
2026-01-26 13:59:07,ALERT,HIGH,Camera blackout detected for 22s
2026-01-26 13:59:07,ALERT,HIGH,Camera blackout detected for 22s
2026-01-26 13:59:07,ALERT,HIGH,Camera blackout detected for 22s
2026-01-26 13:59:07,ALERT,HIGH,Camera blackout detected for 22s
2026-01-26 13:59:07,ALERT,HIGH,Camera blackout detected for 23s
2026-01-26 13:59:07,ALERT,HIGH,Camera blackout detected for 23s
2026-01-26 13:59:08,ALERT,HIGH,Camera blackout detected for 23s
2026-01-26 13:59:08,ALERT,HIGH,Camera blackout detected for 23s
2026-01-26 13:59:08,ALERT,HIGH,Camera blackout detected for 23s
2026-01-26 13:59:08,ALERT,HIGH,Camera blackout detected for 23s
2026-01-26 13:59:08,ALERT,HIGH,Camera blackout detected for 23s
2026-01-26 13:59:08,ALERT,HIGH,Camera blackout detected for 23s
2026-01-26 13:59:08,ALERT,HIGH,Camera blackout detected for 24s
2026-01-26 13:59:08,ALERT,HIGH,Camera blackout detected for 24s
2026-01-26 13:59:08,ALERT,HIGH,Camera blackout detected for 24s
2026-01-26 13:59:09,ALERT,HIGH,Camera blackout detected for 24s
2026-01-26 13:59:09,ALERT,HIGH,Camera blackout detected for 24s
2026-01-26 13:59:09,ALERT,HIGH,Camera blackout detected for 24s
2026-01-26 13:59:09,ALERT,HIGH,Camera blackout detected for 24s
2026-01-26 13:59:09,ALERT,HIGH,Camera blackout detected for 24s
2026-01-26 13:59:09,ALERT,HIGH,Camera blackout detected for 25s
2026-01-26 13:59:09,ALERT,HIGH,Camera blackout detected for 25s
2026-01-26 13:59:09,ALERT,HIGH,Camera blackout detected for 25s
2026-01-26 13:59:10,ALERT,HIGH,Camera blackout detected for 25s
2026-01-26 13:59:10,ALERT,HIGH,Camera blackout detected for 25s
2026-01-26 13:59:10,ALERT,HIGH,Camera blackout detected for 25s
2026-01-26 13:59:10,ALERT,HIGH,Camera blackout detected for 25s
2026-01-26 13:59:10,ALERT,HIGH,Camera blackout detected for 25s
2026-01-26 13:59:10,ALERT,HIGH,Camera blackout detected for 25s
2026-01-26 13:59:10,ALERT,HIGH,Camera blackout detected for 26s
2026-01-26 13:59:10,ALERT,HIGH,Camera blackout detected for 26s
